no,type,chinese,japanese
1,1,請給我水, （お）水をください。; （お）水ちょうだい。
2,1,請給我這個, これをください。; これちょうだい。
3,1,請給我盤子, お皿をください。; お皿ちょうだい。
4,1,請給我咖啡, コーヒーをください。; コーヒーちょうだい。
5,2,你有車子嗎?（強調所有/擁有）, 車をもっていますか？; 車もってる？
6,2,你有帶雨傘嗎?, 傘を持っていますか？; 傘持ってる？
7,2,你有帶筆嗎?, ペンを持っていますか？; ペン持ってる？
8,2,你有帶衛生紙嗎?, ティッシュを持っていますか？; ティッシュ持ってる？
9,3,你知道這部電影嗎?, この映画を知っていますか？; この映画知ってる？
10,3,你知道這本漫畫嗎?, この漫画を知っていますか？; この漫画知ってる？
11,3,你知道這個品牌嗎?, このブランドを知っていますか？; このブランド知ってる？
12,3,你知道這間店嗎?, このお店を知っていますか？; このお店知ってる？
13,4,旅遊怎麼樣? （問感想）, 旅行はどうでしたか？; 旅行どうだった？
14,4,周末過得怎麼樣?, 週末はどうでしたか？; 週末どうだった？
15,4,電影看得怎麼樣?, 映画はどうでしたか？; 映画どうだった？
16,4,考試考得怎麼樣?, テストはどうでしたか？; テストどうだった？
17,5,請你小心車子喔, 車に気を付けてくださいね。; 車に気を付けてね。
18,5,請你注意身體喔, 体に気を付けてくださいね。; 体に気を付けてね。
19,5,請你注意時間喔, 時間に気を付けてくださいね。; 時間に気を付けてね。
20,5,回家要小心喔, 帰り道に気を付けてくださいね。; 帰り道に気を付けてね。
21,6,你要咖啡還是紅茶?, コーヒーと紅茶どっちがいいですか？; コーヒーと紅茶どっちがいい？
22,6,你要白飯還是麵?, ごはんと麺どっちがいいですか？; ごはんと麺どっちがいい？
23,6,你要黑色還是白色?, 黒と白どっちがいいですか？; 黒と白どっちがいい？
24,6,你要筷子還是湯匙, おはしとスプーンどっちがいいですか？; おはしとスプーンどっちがいい？
25,7,你家真棒呢（讚美別人）, 素敵なお家ですね。; 素敵なお家だね。
26,7,你的鞋子好漂亮喔, 素敵な靴ですね。; 素敵な靴だね。
27,7,你的髮型真好看, 素敵な髪型ですね。; 素敵な髪型だね。
28,7,你的老公真棒呢, 素敵なご主人ですね。; 素敵なご主人だね。
29,8,要不要衛生紙?, ティッシュ(は)要りますか？; ティッシュ要る？
30,8,要不要袋子?, 袋(は)いりますか？; 袋いる？
31,8,要不要發票?, レシート(は)いりますか？; レシートいる？
32,8,要不要糖, 砂糖(は)いりますか？; 砂糖いる？
33,9,這是什麼?, これは何ですか？; これ何？
34,9,早餐吃了什麼?, 朝ごはんは何をたべましたか？; 朝ごはん何食べたの？
35,9,你喜歡什麼?, 何が好きですか？; 何が好き？
36,9,你在做什麼?, 何をしているんですか？; 何してるの？
37,10,我想要新鞋子（名詞）, 新しい靴がほしいです。; 新しい靴ほしいなあ。
38,10,我想要新電腦, 新しいパソコンがほしいです。; 新しいパソコンがほしいなあ。
39,10,我想要男朋友, 彼氏がほしいです。; 彼氏ほしいなあ。
40,10,你想要什麼?, 何が欲しいですか？; 何欲しい？
41,11,我想去日本（動詞）, 日本へ行きたいです。; 日本へ行きたいなあ。
42,11,我想見你, 会いたいです。; 会いたいなあ。
43,11,我想看櫻花, 桜を見たいです。; 桜みたいなあ。
44,11,你想吃什麼?, 何を食べたいですか？; 何食べたい？
45,12,你為什麼遲到?, どうして遅れたんですか？; なんで遅れたの？
46,12,你昨天為什麼沒有來呢?, どうして昨日来なかったんですか？; なんで昨日来なかったの？
